,hidden_dim1,hidden_dim2,hidden_dim3,lr,batch_size,epochs,accuracy
223,1024,128,64,2e-05,512,500,0.6416453719139099
224,1024,128,64,0.001,32,50,0.6365326642990112
225,1024,128,64,0.001,32,100,0.630955159664154
226,1024,128,64,0.001,32,250,0.6397861838340759
227,1024,128,64,0.001,32,500,0.636300265789032
228,1024,128,64,0.001,64,50,0.6293283700942993
229,1024,128,64,0.001,64,100,0.6565186977386475
230,1024,128,64,0.001,64,250,0.6479200720787048
231,1024,128,64,0.001,64,500,0.6435045599937439
232,1024,128,64,0.001,128,50,0.6407157778739929
233,1024,128,64,0.001,128,100,0.6149198412895203
234,1024,128,64,0.001,128,250,0.637229859828949
235,1024,128,64,0.001,128,500,0.6416453719139099
236,1024,128,64,0.001,512,50,0.6325819492340088
237,1024,128,64,0.001,512,100,0.6462932825088501
238,1024,128,64,0.001,512,250,0.6455960869789124
239,1024,128,64,0.001,512,500,0.6460608839988708
240,1024,128,128,0.0001,32,50,0.5661166906356812
241,1024,128,128,0.0001,32,100,0.6358354687690735
242,1024,128,128,0.0001,32,250,0.6451312899589539
243,1024,128,128,0.0001,32,500,0.6430397629737854
244,1024,128,128,0.0001,64,50,0.5840111374855042
245,1024,128,128,0.0001,64,100,0.6349058747291565
246,1024,128,128,0.0001,64,250,0.6467580795288086
247,1024,128,128,0.0001,64,500,0.6465256810188293
248,1024,128,128,0.0001,128,50,0.5807576179504395
249,1024,128,128,0.0001,128,100,0.6342086791992188
250,1024,128,128,0.0001,128,250,0.6472228765487671
251,1024,128,128,0.0001,128,500,0.6437369585037231
252,1024,128,128,0.0001,512,50,0.5691378116607666
253,1024,128,128,0.0001,512,100,0.6307227611541748
254,1024,128,128,0.0001,512,250,0.6465256810188293
255,1024,128,128,0.0001,512,500,0.638159453868866
256,1024,128,128,2e-05,32,50,0.4961654841899872
257,1024,128,128,2e-05,32,100,0.5354403853416443
258,1024,128,128,2e-05,32,250,0.6132930517196655
259,1024,128,128,2e-05,32,500,0.6432721614837646
260,1024,128,128,2e-05,64,50,0.4550313949584961
261,1024,128,128,2e-05,64,100,0.536137580871582
262,1024,128,128,2e-05,64,250,0.6170114278793335
263,1024,128,128,2e-05,64,500,0.6439693570137024
264,1024,128,128,2e-05,128,50,0.49546828866004944
265,1024,128,128,2e-05,128,100,0.519869863986969
266,1024,128,128,2e-05,128,250,0.6098071336746216
267,1024,128,128,2e-05,128,500,0.6414129734039307
268,1024,128,128,2e-05,512,50,0.4778061807155609
269,1024,128,128,2e-05,512,100,0.5196374654769897
270,1024,128,128,2e-05,512,250,0.6132930517196655
271,1024,128,128,2e-05,512,500,0.6458284854888916
272,1024,128,128,0.001,32,50,0.6393213868141174
273,1024,128,128,0.001,32,100,0.6411805748939514
274,1024,128,128,0.001,32,250,0.6483848690986633
275,1024,128,128,0.001,32,500,0.6504763960838318
276,1024,128,128,0.001,64,50,0.6365326642990112
277,1024,128,128,0.001,64,100,0.6497792601585388
278,1024,128,128,0.001,64,250,0.6476876735687256
279,1024,128,128,0.001,64,500,0.6453636884689331
